アイテムID,アイテム名,アイテム説明,装備時イベント,装備中マップ移動イベント,装備解除イベント
151,202号室の鍵,ホテルのフロントで受け取った鍵\n持ち手に「202」と書いてある,,,
152,303号室の鍵,ホテルのフロントで受け取った鍵\n持ち手に「303」と書いてある,,,
153,脱出シューターの鍵,プロデューサーさんが持っていた鍵,,,
154,大きな木の板,丈夫そうな木の板。\n乗っても壊れる気配がない,,,
155,不思議な形の石ころ,不思議なクビレがある石ころ,,,
156,エレベーターの鍵,うっすらEVと書いてある鍵,,,
157,ロープ,男性が首吊りに使っていたロープ\n長いので持ってきてしまったが・・・,,,
158,下水道管理室の鍵,下水道に落ちていた鍵,,,
159,鉄格子の鍵,北森地下水道の管理室にあった鍵,,,
1510,変な形の針金,北森金鉱跡-坑道に転がっていたガイコツが\n持っていた針金。,,,
1511,縄梯子,縄で出来た梯子,,,
1512,階段室の鍵,物置部屋に落ちていた鍵,,,
1513,子供部屋の鍵,「みろく」という子供に貰った鍵,,,
1514,調理場の鍵,「さとこ」という子供に貰った鍵,,,
1515,地下3階階段室の鍵,「狂人病発症レポート」という冊子に\n挟まっていた鍵,,,
1516,玄関の鍵,職員室から拝借した鍵。見つからないように外に出よう,,,
1517,懐中電灯,非常用の懐中電灯\n※装備で使用可能,flashlightInit,flashlightUpdate,flashlightEnd
1518,懐中電灯,鬼の面の裏に隠されていた懐中電灯\nあまりの暗さに持ってきてしまったが・・・\n※装備で使用可能,flashlightInit,flashlightUpdate,flashlightEnd
1519,マッドブル,飲んだ者に翼を授けるエナジードリンク\n1エリアのみ移動が速くなる\n※装備で使用可能,madbullInit,,
